package,old,new,delta
curtailment,0.2.0,0.2.5,*
assertthat,0.2.1,0.2.1,
cli,3.6.1,3.6.1,
colorspace,2.1-0,2.1-0,
data.table,1.14.8,1.14.8,
fansi,1.0.5,1.0.5,
farver,2.1.1,2.1.1,
ggplot2,3.4.4,3.4.4,
ggthemes,4.2.4,4.2.4,
glue,1.6.2,1.6.2,
gridExtra,2.3,2.3,
gtable,0.3.4,0.3.4,
isoband,0.2.7,0.2.7,
labeling,0.4.3,0.4.3,
lifecycle,1.0.3,1.0.3,
magrittr,2.0.3,2.0.3,
munsell,0.5.0,0.5.0,
pillar,1.9.0,1.9.0,
pkgcond,0.1.1,0.1.1,
pkgconfig,2.0.3,2.0.3,
purrr,1.0.2,1.0.2,
R6,2.5.1,2.5.1,
RColorBrewer,1.1-3,1.1-3,
rlang,1.1.1,1.1.1,
scales,1.2.1,1.2.1,
stringi,1.7.12,1.7.12,
stringr,1.5.0,1.5.0,
tibble,3.2.1,3.2.1,
utf8,1.2.4,1.2.4,
vctrs,0.6.4,0.6.4,
viridisLite,0.4.2,0.4.2,
withr,2.5.1,2.5.1,
